Number;Start time in milliseconds;End time in milliseconds;"Text"
1;2270;4990;"You removed the needle, didn't you?"
2;5940;6860;"Yeah."
3;7480;8860;"I feel a lot better."
4;10310;13360;"Then I won't have to hold back when I kill you."
5;13610;14590;"Kill?"
6;15440;16490;"Me?"
7;19760;23960;"You can't kill family members 
during an inner mission."
8;26000;27500;"<i>Family</i> is off limits."
9;31300;35010;"You shouldn't consider that thing 
to be a member of the family."
10;36790;39040;"They're all thinking"
11;40260;42160;"the same thing!"
12;45150;46680;"Fine..."
13;46680;48470;"I'll beat you at your own game."
14;128980;133980;"Needles x And x Debt"
15;139380;143740;"To save Gon, Killua is heading 
for the city with Alluka."
16;145320;149820;"Hisoka, who is working with Illumi to kill Alluka,"
17;149820;154310;"confronted Gotoh and the other 
butlers escorting them."
18;155350;159440;"A power that lets you rapidly fire coins 
with more power than bullets..."
19;162220;166520;"Your power is strong enough to explain why 
you'd send your subordinates away."
20;166860;171260;"My coins pack enough power that you 
can't escape unscathed if they hit."
21;171970;174270;"He must have used his power."
22;188930;194540;"My aura possesses the qualities 
of both gum and rubber."
23;197580;199500;"You've said too much."
24;199980;202800;"I hope you don't regret it, you hack magician!"
25;207030;210060;"Telling my name to someone 
about to die is pointless."
26;211580;214810;"It doesn't matter that you 
know what my power is."
27;215530;216320;"Rubbish!"
28;233520;234830;"Catch."
29;236390;239360;"Were my eyes just accustomed 
to your attack that time?"
30;239730;241840;"It looked slower."
31;242310;244840;"Yeah, it was a lot slower."
32;252220;255600;"Because I diverted some 
power to make them spin."
33;264270;268370;"If you don't release your ability, 
you'll be strangled by your own aura."
34;269870;272270;"Or would you prefer your body riddled with holes?"
35;275880;277380;"Pick your poison."
36;280310;282630;"Bungee Gum, undo."
37;291150;294740;"He dodged my attack from that position?"
38;305880;306980;"He's fast."
39;307420;308410;"I can't follow him!"
40;309150;312990;"I sent my gum out with the first card..."
41;315030;317600;"So it would be ready to activate anytime"
42;317600;321770;"after I removed the gum from my feet."
43;328410;329480;"Now,"
44;329870;332780;"this evil magician has a lethal pop quiz for you."
45;336530;341450;"I took twenty-two coins from your attack."
46;342170;345440;"How many coins will I return to you?"
47;346570;350200;"He's going to use the gum to send 
the coins flying back at me?"
48;351700;355200;"You will have to find out for yourself."
49;355870;357710;"Gum, undo."
